,score
11468,5.25
10473,5.61
9889,5.76
11694,5.14
6526,6.48
1255,7.65
1954,7.43
2210,7.37
3045,7.2
9473,5.88
11142,5.39
676,7.93
11701,5.13
3349,7.14
8233,6.14
7559,6.28
8229,6.14
6302,6.52
7120,6.37
5453,6.68
8064,6.18
3649,7.08
10461,5.61
7325,6.33
4863,6.8
8128,6.16
11966,4.96
6131,6.55
10898,5.48
3181,7.17
11708,5.13
7784,6.24
2009,7.42
5045,6.76
8846,6.02
10243,5.68
3896,7.02
3334,7.14
4963,6.78
3314,7.15
8708,6.04
4696,6.84
2613,7.28
1984,7.42
740,7.9
0,9.1
1953,7.43
3595,7.09
3025,7.2
2474,7.31
6209,6.54
11603,5.19
6422,6.5
10915,5.47
3026,7.2
9189,5.94
9523,5.86
7344,6.32
11039,5.42
4337,6.92
11281,5.33
10489,5.61
11567,5.2
4764,6.82
11877,5.04
7261,6.34
7487,6.3
3272,7.16
2801,7.25
4215,6.95
8992,5.99
11471,5.25
7677,6.26
7379,6.31
8528,6.09
8287,6.13
6620,6.46
9100,5.96
9999,5.74
4026,7.0
3404,7.13
9261,5.93
1950,7.43
8558,6.08
12540,3.68
216,8.33
3316,7.15
8400,6.11
11865,5.04
4498,6.88
11844,5.06
4457,6.89
921,7.8
866,7.83
5792,6.61
43,8.73
17,8.94
7414,6.31
8237,6.14
1883,7.45
2342,7.34
8421,6.11
10707,5.54
11661,5.16
10510,5.6
8380,6.11
3038,7.2
9899,5.76
9326,5.91
3116,7.19
5362,6.7
6463,6.49
11325,5.32
6170,6.54
4190,6.95
10061,5.72
7497,6.29
4640,6.85
3077,7.19
795,7.86
3938,7.01
11710,5.13
5147,6.74
12430,4.39
2777,7.25
259,8.28
9037,5.97
10854,5.49
7271,6.34
2150,7.38
6427,6.5
3058,7.2
532,8.04
10695,5.54
10643,5.56
6018,6.57
6182,6.54
8052,6.18
7671,6.26
10714,5.54
11919,5.0
11549,5.21
7320,6.33
12385,4.5
683,7.93
2894,7.23
3098,7.19
4058,6.99
2701,7.27
577,8.01
11697,5.14
10408,5.63
8411,6.11
9056,5.97
1965,7.43
8892,6.01
3290,7.15
5721,6.63
4279,6.93
3651,7.07
9783,5.79
761,7.89
11911,5.01
6196,6.54
796,7.86
2216,7.37
2085,7.4
10834,5.5
9470,5.88
8703,6.05
4991,6.77
